Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
"Urgent need - Data Analyst - Seattle, WA",Seattle,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Deegit-Inc/Job/Urgent-need-Data-Analyst-Seattle,-WA/-in-Seattle,WA?jid=3eaf4a58da5cdc0c",Deegit Inc,2015-08-20T00:00:00Z,,3eaf4a58da5cdc0c,2024-02-06T10:31:34Z
Data Analyst III,Cupertino,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam-Inc/Job/Data-Analyst-III/-in-Cupertino,CA?jid=73a49e30012ef5f2",eTeam Inc,2023-12-13T08:00:00Z,,73a49e30012ef5f2,2024-02-06T10:31:43Z
"Analyst, Data and Analysis Intern",San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Publicis-Groupe/Job/Analyst,-Data-and-Analysis-Intern/-in-San-Francisco,CA?jid=61c7e92514107beb",Publicis Groupe,2024-01-26T00:00:00Z,,61c7e92514107beb,2024-02-06T10:31:43Z
Procurement Analyst,Plainfield,$28 - $30.82 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Procurement-Analyst/-in-Plainfield,IL?jid=27839c9ddda1d051",Alpha Consulting Corp.,2024-01-17T08:00:00Z,,27839c9ddda1d051,2024-02-06T10:31:43Z
Data Engineer/Analyst,Fremont,$0 / ,Contractor,"https://www.ziprecruiter.com/c/RIT-Solutions/Job/Data-Engineer-Analyst/-in-Fremont,CA?jid=deb643b03d31e086",RIT Solutions,2023-11-30T08:00:00Z,,deb643b03d31e086,2024-02-06T10:31:43Z
Project Manager (Digital Transformation),Torrance,$75 / hr,Contractor,"https://www.ziprecruiter.com/c/Calance-US/Job/Project-Manager-(Digital-Transformation)/-in-Torrance,CA?jid=d61b8aedc6d42624",Calance US,2023-11-28T18:48:54Z,,d61b8aedc6d42624,2024-02-06T10:31:43Z
Business Analyst - Utility Data Contractors,San Diego,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Shiftcode-Analytics,-Inc/Job/Business-Analyst-Utility-Data-Contractors/-in-San-Diego,CA?jid=adac6c46d75ea85c","Shiftcode Analytics, Inc",2024-01-23T04:40:46Z,,adac6c46d75ea85c,2024-02-06T10:31:43Z
BUSINESS ANALYST,Addison,$0 / ,Contractor,"https://www.ziprecruiter.com/c/SHIRO-Technologies-Inc/Job/BUSINESS-ANALYST/-in-Addison,TX?jid=2004fb116661e78a",SHIRO Technologies Inc,2023-06-23T00:00:00Z,,2004fb116661e78a,2024-02-06T10:31:43Z
Business Analyst Co-op,Vancouver,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Teck-Resources-Limited/Job/Business-Analyst-Co-op/-in-Vancouver,WA?jid=0a77211387d630b4",Teck Resources Limited,2024-01-31T08:00:00Z,,0a77211387d630b4,2024-02-06T10:31:43Z
Denver CO_Business Data analyst(SAS exp preferrred)_W2,Denver,$0 / ,Contractor,"https://www.ziprecruiter.com/c/360-IT-Professionals/Job/Denver-CO_Business-Data-analyst(SAS-exp-preferrred)_W2/-in-Denver,CO?jid=4f192d2530bd1c5b",360 IT Professionals,2017-06-02T07:00:00Z,,4f192d2530bd1c5b,2024-02-06T10:31:43Z
